[gazebo_mapper] 参数: ns=/gz_debug, init_yaw_offset=0.0, gazebo_yaw_offset=3.14159
[gazebo_mapper] 未解析参数: []
[gazebo_mapper] 等待仿真时钟同步...
[gazebo_mapper] 仿真时钟已同步 (t=299.468s)
[gazebo_mapper] 等待 Gazebo 服务: /gz_debug/set_model_state
[gazebo_mapper] Gazebo 服务已连接
[gazebo_mapper] 初始位置: x=0.000, y=0.000, th=0.000 (init_yaw_offset)
[gazebo_mapper] ✅ 启动完成 (ns=/gz_debug, yaw_offset=0.0)
[gazebo_mapper] 位置: x=0.000, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=0.000, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=0.000, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=0.000, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=0.000, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=0.000, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=-0.125, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=-0.125, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=-0.125, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=-0.125, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=-0.140, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=-0.475, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=-0.975, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=-0.560, y=0.000, TF=0.0°, Gazebo=180.0°
[gazebo_mapper] 位置: x=-0.250, y=-0.087, TF=20.1°, Gazebo=-159.9°
[gazebo_mapper] 位置: x=-0.067, y=-0.248, TF=77.3°, Gazebo=-102.7°
[gazebo_mapper] 位置: x=0.167, y=-0.181, TF=134.6°, Gazebo=-45.4°
[gazebo_mapper] 位置: x=0.321, y=-0.437, TF=127.2°, Gazebo=-52.8°
[gazebo_mapper] 位置: x=0.623, y=-0.836, TF=127.2°, Gazebo=-52.8°
[gazebo_mapper] 位置: x=0.564, y=-0.958, TF=103.7°, Gazebo=-76.3°
[gazebo_mapper] 位置: x=0.582, y=-1.360, TF=96.8°, Gazebo=-83.2°
