[INFO] [1781514182.956116]: gazebo_sync 已启动
[INFO] [1781514182.958817]:   持续尝试连接 /gazebo/set_model_state ...
[INFO] [1781514183.662489]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514189.126626]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514194.581883]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514200.041453]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514205.500723]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514210.959684]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514216.417493]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514221.879412]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514227.339840]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514232.818731]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514238.277247]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514243.737458]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514249.196002]:   等待 /gazebo/set_model_state 服务就绪...
[INFO] [1781514254.656613]:   等待 /gazebo/set_model_state 服务就绪...
