[INFO] [1782361971.290351]: [bridge] 串口已打开: /dev/ttyTHS0 @ 57600 (raw mode)
[INFO] [1782361971.297627]: [bridge] serial_bridge 已启动 (读+写合并)
[INFO] [1782361971.299418]: [bridge] wheel_base=0.5022, wheel_radius=0.1065
[INFO] [1782361971.389758]: [bridge] tick #1: ltick=0, rtick=-6
[INFO] [1782361972.443209]: [bridge] tick #8: ltick=0, rtick=-6
[INFO] [1782361973.490952]: [bridge] tick #15: ltick=0, rtick=-6
[INFO] [1782361974.539012]: [bridge] tick #22: ltick=0, rtick=-6
[INFO] [1782361975.592069]: [bridge] tick #29: ltick=0, rtick=-6
[INFO] [1782361976.640087]: [bridge] tick #36: ltick=0, rtick=-6
[INFO] [1782361977.693127]: [bridge] tick #43: ltick=0, rtick=-6
[INFO] [1782361978.741439]: [bridge] tick #50: ltick=0, rtick=-6
[INFO] [1782361979.789227]: [bridge] tick #57: ltick=0, rtick=-6
[INFO] [1782361980.842116]: [bridge] tick #64: ltick=0, rtick=-6
[INFO] [1782361981.890224]: [bridge] tick #71: ltick=0, rtick=-6
[INFO] [1782361982.943242]: [bridge] tick #78: ltick=0, rtick=-6
[INFO] [1782361983.991908]: [bridge] tick #85: ltick=0, rtick=-6
[INFO] [1782361985.039914]: [bridge] tick #92: ltick=0, rtick=-6
[INFO] [1782361986.093304]: [bridge] tick #99: ltick=0, rtick=-6
[INFO] [1782361987.140356]: [bridge] tick #106: ltick=0, rtick=-6
[INFO] [1782361988.193668]: [bridge] tick #113: ltick=0, rtick=-6
[INFO] [1782361989.241372]: [bridge] tick #120: ltick=0, rtick=-6
[INFO] [1782361990.294749]: [bridge] tick #127: ltick=0, rtick=-6
[INFO] [1782361991.342666]: [bridge] tick #134: ltick=0, rtick=-6
[INFO] [1782361992.390513]: [bridge] tick #141: ltick=0, rtick=-6
[INFO] [1782361993.444090]: [bridge] tick #148: ltick=0, rtick=-6
[INFO] [1782361994.491711]: [bridge] tick #155: ltick=0, rtick=-6
[INFO] [1782361995.544610]: [bridge] tick #162: ltick=0, rtick=-6
[INFO] [1782361996.593035]: [bridge] tick #169: ltick=0, rtick=-6
[INFO] [1782361997.640666]: [bridge] tick #176: ltick=0, rtick=-6
[INFO] [1782361998.102251]: [bridge] cmd #1: v=0.000 ω=0.000 → l=0.000 r=0.000  [串口发送] l:0.000,r:0.000
[INFO] [1782361998.695352]: [bridge] tick #183: ltick=0, rtick=-6
[INFO] [1782361999.743051]: [bridge] tick #190: ltick=0, rtick=-6
[INFO] [1782362000.790616]: [bridge] tick #197: ltick=0, rtick=-6
[INFO] [1782362001.843554]: [bridge] tick #204: ltick=0, rtick=-6
[INFO] [1782362002.891598]: [bridge] tick #211: ltick=0, rtick=-6
[INFO] [1782362003.944567]: [bridge] tick #218: ltick=0, rtick=-6
[INFO] [1782362004.992725]: [bridge] tick #225: ltick=0, rtick=-6
[INFO] [1782362006.040723]: [bridge] tick #232: ltick=0, rtick=-6
[INFO] [1782362007.004452]: [bridge] cmd #2: v=0.000 ω=0.000 → l=0.000 r=0.000  [串口发送] l:0.000,r:0.000
[INFO] [1782362007.094864]: [bridge] tick #239: ltick=0, rtick=-6
[INFO] [1782362008.143440]: [bridge] tick #246: ltick=0, rtick=-6
[INFO] [1782362009.191302]: [bridge] tick #253: ltick=0, rtick=-6
[INFO] [1782362010.244339]: [bridge] tick #260: ltick=0, rtick=-6
[INFO] [1782362011.292436]: [bridge] tick #267: ltick=0, rtick=-6
[INFO] [1782362012.345464]: [bridge] tick #274: ltick=0, rtick=-6
[INFO] [1782362013.393523]: [bridge] tick #281: ltick=0, rtick=-6
[INFO] [1782362014.442076]: [bridge] tick #288: ltick=0, rtick=-6
[INFO] [1782362015.494503]: [bridge] tick #295: ltick=0, rtick=-6
[INFO] [1782362016.542594]: [bridge] tick #302: ltick=0, rtick=-6
[INFO] [1782362017.595686]: [bridge] tick #309: ltick=0, rtick=-6
[INFO] [1782362018.644055]: [bridge] tick #316: ltick=0, rtick=-6
[INFO] [1782362019.374077]: [bridge] 串口已关闭
