[INFO] [1782648768.442037]: pre_rotate: err=-156.3deg, start rotation
[INFO] [1782648776.713463]: pre_rotate: aligned, send goal to move_base
[INFO] [1782648807.324339]: pre_rotate: err=20.0deg, start rotation
[INFO] [1782648808.497949]: pre_rotate: aligned, send goal to move_base
[INFO] [1782648825.772119]: pre_rotate: err=16.7deg, start rotation
[INFO] [1782648826.942883]: pre_rotate: aligned, send goal to move_base
[INFO] [1782648861.356404]: pre_rotate: err=18.5deg, start rotation
[INFO] [1782648862.647327]: pre_rotate: aligned, send goal to move_base
[INFO] [1782648870.158224]: pre_rotate: err=-124.4deg, start rotation
[INFO] [1782648877.354562]: pre_rotate: aligned, send goal to move_base
[INFO] [1782648913.135329]: pre_rotate: err=-90.3deg, start rotation
[INFO] [1782648918.759185]: pre_rotate: aligned, send goal to move_base
[INFO] [1782648978.535790]: pre_rotate: err=39.6deg, start rotation
[INFO] [1782648980.863405]: pre_rotate: aligned, send goal to move_base
[INFO] [1782649038.881778]: pre_rotate: err=-52.2deg, start rotation
[INFO] [1782649042.408118]: pre_rotate: aligned, send goal to move_base
[INFO] [1782649074.087197]: pre_rotate: err=117.4deg, start rotation
[INFO] [1782649079.712543]: pre_rotate: aligned, send goal to move_base
