[WARN] [1781514917.453863]: 无法匹配格式，丢弃: A-recv
[WARN] [1781514924.047609]: 无法匹配格式，丢弃: ltick:32619 rtck:-:6367
[WARN] [1781514927.561502]: rtick 斜率异常: 34349 (平均 delta=-1309, 阈值=30000)
[WARN] [1781514928.371580]: ltick 斜率异常: -48195 (平均 delta=1979, 阈值=30000)
[WARN] [1781514929.181483]: 无法匹配格式，丢弃: ltick:59415`rtick:-46822
[INFO] [1781514896.750396]: Open serial: /dev/ttyTHS0 (raw mode)
[INFO] [1781514896.772625]: ltick=0, rtick=0
[INFO] [1781514897.855411]: ltick=0, rtick=0
[INFO] [1781514898.933713]: ltick=0, rtick=0
[INFO] [1781514900.016871]: ltick=0, rtick=0
[INFO] [1781514901.094767]: ltick=0, rtick=0
[INFO] [1781514902.177707]: ltick=0, rtick=0
[INFO] [1781514903.256033]: ltick=0, rtick=0
[INFO] [1781514904.338893]: ltick=0, rtick=0
[INFO] [1781514905.416764]: ltick=0, rtick=0
[INFO] [1781514906.499041]: ltick=0, rtick=0
[INFO] [1781514907.575886]: ltick=0, rtick=0
[INFO] [1781514908.658155]: ltick=0, rtick=0
[INFO] [1781514909.735574]: ltick=0, rtick=0
[INFO] [1781514910.818107]: ltick=0, rtick=0
[INFO] [1781514911.895208]: ltick=0, rtick=0
[INFO] [1781514912.977753]: ltick=0, rtick=0
[INFO] [1781514914.055300]: ltick=0, rtick=0
[INFO] [1781514915.137736]: ltick=0, rtick=0
[INFO] [1781514916.215467]: ltick=0, rtick=0
[INFO] [1781514917.297816]: ltick=0, rtick=0
[INFO] [1781514918.377162]: ltick=4377, rtick=-3597
[INFO] [1781514919.460057]: ltick=9394, rtick=-7754
[INFO] [1781514920.539110]: ltick=14906, rtick=-12175
[INFO] [1781514921.618607]: ltick=20195, rtick=-16500
[INFO] [1781514922.968476]: ltick=25746, rtick=-20781
[INFO] [1781514924.322919]: ltick=34026, rtick=-27472
[INFO] [1781514925.402525]: ltick=39575, rtick=-31848
[INFO] [1781514926.752122]: ltick=46611, rtick=-37301
[INFO] [1781514927.831771]: ltick=52293, rtick=-41544
[INFO] [1781514928.911565]: ltick=57988, rtick=-45752
[INFO] [1781514930.261301]: ltick=63677, rtick=-49946
[INFO] [1781514931.340923]: ltick=70763, rtick=-55302
[INFO] [1781514932.420722]: ltick=76405, rtick=-59680
