[WARN] [1782627563.000993]: [bridge] 无法匹配格式，丢弃: ltick:5q16 rtick:-5226
[WARN] [1782627570.953196]: [bridge] rtick 斜率异常: 89807 (平均 delta=-298, 阈值=30000)
[WARN] [1782627573.159199]: [bridge] 无法匹配格式，丢弃: tazget_l:-0.075 target_:0.075
[WARN] [1782627574.415589]: [bridge] rtick 斜率异常: 79069 (平均 delta=539, 阈值=30000)
[INFO] [1782627536.155190]: [bridge] 串口已打开: /dev/ttyTHS0 @ 57600 (raw mode)
[INFO] [1782627536.171158]: [bridge] serial_bridge 已启动 (读+写合并)
[INFO] [1782627536.176141]: [bridge] wheel_base=0.2500, wheel_radius=0.1065
[INFO] [1782627536.299541]: [bridge] tick #1: ltick=0, rtick=0
[INFO] [1782627537.351083]: [bridge] tick #8: ltick=0, rtick=0
[INFO] [1782627538.398054]: [bridge] tick #15: ltick=0, rtick=0
[INFO] [1782627539.449661]: [bridge] tick #22: ltick=0, rtick=0
[INFO] [1782627540.501994]: [bridge] tick #29: ltick=0, rtick=0
[INFO] [1782627541.553042]: [bridge] tick #36: ltick=0, rtick=0
[INFO] [1782627542.599731]: [bridge] tick #43: ltick=0, rtick=0
[INFO] [1782627543.651430]: [bridge] tick #50: ltick=0, rtick=0
[INFO] [1782627544.703197]: [bridge] tick #57: ltick=0, rtick=0
[INFO] [1782627545.749945]: [bridge] tick #64: ltick=0, rtick=0
[INFO] [1782627546.801576]: [bridge] tick #71: ltick=0, rtick=0
[INFO] [1782627547.853245]: [bridge] tick #78: ltick=0, rtick=0
[INFO] [1782627548.899868]: [bridge] tick #85: ltick=0, rtick=0
[INFO] [1782627549.951617]: [bridge] tick #92: ltick=0, rtick=0
[INFO] [1782627551.005014]: [bridge] tick #99: ltick=0, rtick=0
[INFO] [1782627552.049891]: [bridge] tick #106: ltick=0, rtick=0
[INFO] [1782627553.101802]: [bridge] tick #113: ltick=0, rtick=0
[INFO] [1782627554.153322]: [bridge] tick #120: ltick=0, rtick=0
[INFO] [1782627555.200489]: [bridge] tick #127: ltick=0, rtick=0
[INFO] [1782627556.252114]: [bridge] tick #134: ltick=0, rtick=0
[INFO] [1782627557.303577]: [bridge] tick #141: ltick=0, rtick=0
[INFO] [1782627558.350284]: [bridge] tick #148: ltick=0, rtick=0
[INFO] [1782627559.402198]: [bridge] tick #155: ltick=0, rtick=0
[INFO] [1782627560.453476]: [bridge] tick #162: ltick=0, rtick=0
[INFO] [1782627561.500463]: [bridge] tick #169: ltick=0, rtick=0
[INFO] [1782627562.399055]: [bridge] cmd #1: v=0.000 ω=-0.600 → l=0.075 r=-0.075  [串口发送] l:0.075,r:-0.075
[INFO] [1782627562.560809]: [bridge] tick #176: ltick=358, rtick=-375
[INFO] [1782627563.419435]: [bridge] cmd #52: v=0.000 ω=-0.600 → l=0.075 r=-0.075  [串口发送] l:0.075,r:-0.075
[INFO] [1782627563.611089]: [bridge] tick #182: ltick=11741, rtick=-10503
[INFO] [1782627564.420375]: [bridge] cmd #102: v=0.000 ω=-0.600 → l=0.075 r=-0.075  [串口发送] l:0.075,r:-0.075
[INFO] [1782627564.812830]: [bridge] tick #188: ltick=27053, rtick=-24009
[INFO] [1782627565.438364]: [bridge] cmd #153: v=0.000 ω=-0.600 → l=0.075 r=-0.075  [串口发送] l:0.075,r:-0.075
[INFO] [1782627565.860006]: [bridge] tick #194: ltick=42191, rtick=-37889
[INFO] [1782627566.438973]: [bridge] cmd #203: v=0.000 ω=-0.600 → l=0.075 r=-0.075  [串口发送] l:0.075,r:-0.075
[INFO] [1782627566.912167]: [bridge] tick #201: ltick=58503, rtick=-53047
[INFO] [1782627567.458742]: [bridge] cmd #254: v=0.000 ω=-0.600 → l=0.075 r=-0.075  [串口发送] l:0.075,r:-0.075
[INFO] [1782627567.958633]: [bridge] tick #208: ltick=75675, rtick=-69343
[INFO] [1782627568.458881]: [bridge] cmd #304: v=0.000 ω=-0.600 → l=0.075 r=-0.075  [串口发送] l:0.075,r:-0.075
[INFO] [1782627569.005178]: [bridge] tick #215: ltick=93725, rtick=-86962
[INFO] [1782627570.054787]: [bridge] tick #222: ltick=95409, rtick=-89179
[INFO] [1782627571.104008]: [bridge] tick #229: ltick=96868, rtick=-91287
[INFO] [1782627572.152458]: [bridge] tick #236: ltick=98022, rtick=-92979
[INFO] [1782627572.606535]: [bridge] cmd #328: v=0.000 ω=0.600 → l=-0.075 r=0.075  [串口发送] l:-0.075,r:0.075
[INFO] [1782627573.217437]: [bridge] tick #242: ltick=97005, rtick=-92595
[INFO] [1782627573.625564]: [bridge] cmd #379: v=0.000 ω=0.600 → l=-0.075 r=0.075  [串口发送] l:-0.075,r:0.075
[INFO] [1782627574.258070]: [bridge] tick #247: ltick=90863, rtick=-87770
[INFO] [1782627574.651072]: [bridge] cmd #430: v=0.000 ω=0.600 → l=-0.075 r=0.075  [串口发送] l:-0.075,r:0.075
[INFO] [1782627575.315678]: [bridge] tick #254: ltick=81722, rtick=-81133
[INFO] [1782627575.664764]: [bridge] cmd #481: v=0.000 ω=0.600 → l=-0.075 r=0.075  [串口发送] l:-0.075,r:0.075
[INFO] [1782627576.661522]: [bridge] tick #261: ltick=66480, rtick=-68008
